agency,amt
アイムエンタープライズ,1589
アーツビジョン,717
シグマ・セブン,600
大沢事務所,594
81プロデュース,590
プロ・フィット,576
マウスプロモーション,564
東京俳優生活協同組合,489
VIMS,442
青二プロダクション,377
INTENTION,353
ミュージックレイン,322
アクセルワン,314
EARLY WING,292
スペースクラフト・エンターテイメント,247
劇団ひまわり,242
アトミックモンキー,228
アクロス エンタテインメント,222
賢プロダクション,183
ぷろだくしょんバオバブ,125
アニモプロヂュース,120
ヒラタオフィス,111
イエローキャブNEXT,110
ダンデライオン,109
ソニー・ミュージックアーティスツ,107
ステイラック,89
劇団俳優座,88
ケッケコーポレーション,74
リマックス,72
ティーズファクトリー,71
AIR AGENCY,64
Zynchro,63
ゆーりんプロ,63
アセンブルハート,61
クレアボイス,58
響,58
ジャンクション,57
Rush Style,56
オフィスアネモネ,53
スーパー・エキセントリック・シアター,53
オフィスPAC,52
ホリプロ,52
